State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Uttar Pradesh,AZAMGARH,2001,Rabi       ,Maize,348,567
Uttar Pradesh,AZAMGARH,2001,Rabi       ,Masoor,161,179
Uttar Pradesh,AZAMGARH,2001,Rabi       ,Peas & beans (Pulses),9395,10090
Uttar Pradesh,AZAMGARH,2001,Rabi       ,Rapeseed &Mustard,1004,1023
Uttar Pradesh,AZAMGARH,2001,Rabi       ,Urad,264,129
Uttar Pradesh,AZAMGARH,2001,Rabi       ,Wheat,217147,518173
Uttar Pradesh,AZAMGARH,2001,Whole Year ,Potato,5382,142817
Uttar Pradesh,AZAMGARH,2001,Whole Year ,Sugarcane,22612,960920
Uttar Pradesh,AZAMGARH,2001,Whole Year ,Tobacco,91,569
Uttar Pradesh,AZAMGARH,2002,Kharif     ,Bajra,58,78
Uttar Pradesh,AZAMGARH,2002,Kharif     ,Groundnut,49,32
Uttar Pradesh,AZAMGARH,2002,Kharif     ,Jowar,13,14
Uttar Pradesh,AZAMGARH,2002,Kharif     ,Maize,6414,7556
Uttar Pradesh,AZAMGARH,2002,Kharif     ,Moong(Green Gram),2,1
Uttar Pradesh,AZAMGARH,2002,Kharif     ,Rice,180384,303911
Uttar Pradesh,AZAMGARH,2002,Kharif     ,Sesamum,57,9
Uttar Pradesh,AZAMGARH,2002,Kharif     ,Small millets,112,121
Uttar Pradesh,AZAMGARH,2002,Kharif     ,Sunflower,2,3
Uttar Pradesh,AZAMGARH,2002,Kharif     ,Urad,156,62
Uttar Pradesh,AZAMGARH,2002,Rabi       ,Barley,4256,5728
Uttar Pradesh,AZAMGARH,2002,Rabi       ,Gram,4886,4398
Uttar Pradesh,AZAMGARH,2002,Rabi       ,Linseed,7,3
Uttar Pradesh,AZAMGARH,2002,Rabi       ,Maize,453,502
Uttar Pradesh,AZAMGARH,2002,Rabi       ,Masoor,148,127
Uttar Pradesh,AZAMGARH,2002,Rabi       ,Onion,67,691
Uttar Pradesh,AZAMGARH,2002,Rabi       ,Peas & beans (Pulses),8501,8399
Uttar Pradesh,AZAMGARH,2002,Rabi       ,Ragi,60,88
Uttar Pradesh,AZAMGARH,2002,Rabi       ,Rapeseed &Mustard,1019,913
Uttar Pradesh,AZAMGARH,2002,Rabi       ,Wheat,216928,434435
Uttar Pradesh,AZAMGARH,2002,Summer     ,Moong(Green Gram),79,46
Uttar Pradesh,AZAMGARH,2002,Summer     ,Onion,583,6518
Uttar Pradesh,AZAMGARH,2002,Summer     ,Urad,196,104
Uttar Pradesh,AZAMGARH,2002,Whole Year ,Potato,5352,111878
Uttar Pradesh,AZAMGARH,2002,Whole Year ,Sannhamp,64,20
Uttar Pradesh,AZAMGARH,2002,Whole Year ,Sugarcane,22119,933333
Uttar Pradesh,AZAMGARH,2002,Whole Year ,Tobacco,56,330
Uttar Pradesh,AZAMGARH,2002,Whole Year ,Turmeric,2,4
Uttar Pradesh,AZAMGARH,2003,Kharif     ,Arhar/Tur,9720,8508
Uttar Pradesh,AZAMGARH,2003,Kharif     ,Bajra,193,260
Uttar Pradesh,AZAMGARH,2003,Kharif     ,Groundnut,82,55
Uttar Pradesh,AZAMGARH,2003,Kharif     ,Jowar,15,17
Uttar Pradesh,AZAMGARH,2003,Kharif     ,Maize,7157,9111
Uttar Pradesh,AZAMGARH,2003,Kharif     ,Moong(Green Gram),4,1
Uttar Pradesh,AZAMGARH,2003,Kharif     ,Rice,205352,417537
Uttar Pradesh,AZAMGARH,2003,Kharif     ,Sesamum,70,9
Uttar Pradesh,AZAMGARH,2003,Kharif     ,Sunflower,6,10
Uttar Pradesh,AZAMGARH,2003,Kharif     ,Urad,151,36
Uttar Pradesh,AZAMGARH,2003,Rabi       ,Barley,4240,7033
Uttar Pradesh,AZAMGARH,2003,Rabi       ,Gram,4585,5326
Uttar Pradesh,AZAMGARH,2003,Rabi       ,Linseed,3,2
Uttar Pradesh,AZAMGARH,2003,Rabi       ,Masoor,124,157
Uttar Pradesh,AZAMGARH,2003,Rabi       ,Onion,90,1292
Uttar Pradesh,AZAMGARH,2003,Rabi       ,Peas & beans (Pulses),8602,10288
Uttar Pradesh,AZAMGARH,2003,Rabi       ,Ragi,11,16
Uttar Pradesh,AZAMGARH,2003,Rabi       ,Rapeseed &Mustard,1201,1197
Uttar Pradesh,AZAMGARH,2003,Rabi       ,Wheat,222018,552640
Uttar Pradesh,AZAMGARH,2003,Summer     ,Maize,458,626
Uttar Pradesh,AZAMGARH,2003,Summer     ,Moong(Green Gram),68,41
Uttar Pradesh,AZAMGARH,2003,Summer     ,Onion,651,6629
Uttar Pradesh,AZAMGARH,2003,Summer     ,Urad,210,103
Uttar Pradesh,AZAMGARH,2003,Whole Year ,Potato,5571,91359
Uttar Pradesh,AZAMGARH,2003,Whole Year ,Sannhamp,85,26
Uttar Pradesh,AZAMGARH,2003,Whole Year ,Sugarcane,21335,929182
Uttar Pradesh,AZAMGARH,2003,Whole Year ,Tobacco,89,666
Uttar Pradesh,AZAMGARH,2003,Whole Year ,Turmeric,1,2
Uttar Pradesh,AZAMGARH,2004,Kharif     ,Bajra,92,149
Uttar Pradesh,AZAMGARH,2004,Kharif     ,Groundnut,68,56
Uttar Pradesh,AZAMGARH,2004,Kharif     ,Jowar,13,14
Uttar Pradesh,AZAMGARH,2004,Kharif     ,Maize,7514,14066
Uttar Pradesh,AZAMGARH,2004,Kharif     ,Rice,212127,187398
Uttar Pradesh,AZAMGARH,2004,Kharif     ,Sannhamp,62,17
Uttar Pradesh,AZAMGARH,2004,Kharif     ,Sesamum,66,10
Uttar Pradesh,AZAMGARH,2004,Kharif     ,Small millets,54,20
Uttar Pradesh,AZAMGARH,2004,Kharif     ,Sugarcane,19272,753998
Uttar Pradesh,AZAMGARH,2004,Rabi       ,Barley,3604,5408
Uttar Pradesh,AZAMGARH,2004,Rabi       ,Gram,3796,3063
Uttar Pradesh,AZAMGARH,2004,Rabi       ,Linseed,1,1
Uttar Pradesh,AZAMGARH,2004,Rabi       ,Maize,6,26
Uttar Pradesh,AZAMGARH,2004,Rabi       ,Potato,5307,90851
Uttar Pradesh,AZAMGARH,2004,Rabi       ,Rapeseed &Mustard,1195,1188
Uttar Pradesh,AZAMGARH,2004,Rabi       ,Wheat,223364,472982
Uttar Pradesh,AZAMGARH,2004,Summer     ,Sunflower,2,4
Uttar Pradesh,AZAMGARH,2004,Whole Year ,Banana,8,291
Uttar Pradesh,AZAMGARH,2004,Whole Year ,Dry chillies,38,36
Uttar Pradesh,AZAMGARH,2004,Whole Year ,Garlic,21,91
Uttar Pradesh,AZAMGARH,2004,Whole Year ,Guar seed,35,30
Uttar Pradesh,AZAMGARH,2004,Whole Year ,Onion,615,7429
Uttar Pradesh,AZAMGARH,2004,Whole Year ,Sweet potato,84,976
Uttar Pradesh,AZAMGARH,2004,Whole Year ,Tobacco,228,998
Uttar Pradesh,AZAMGARH,2005,Kharif     ,Bajra,445,673
Uttar Pradesh,AZAMGARH,2005,Kharif     ,Jowar,11,14
Uttar Pradesh,AZAMGARH,2005,Kharif     ,Maize,2987,3546
Uttar Pradesh,AZAMGARH,2005,Kharif     ,Rice,201562,353338
Uttar Pradesh,AZAMGARH,2005,Kharif     ,Sannhamp,97,33
Uttar Pradesh,AZAMGARH,2005,Kharif     ,Sesamum,47,8
Uttar Pradesh,AZAMGARH,2005,Kharif     ,Small millets,42,27
